# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000175178     	-3.95139886e-04
0.000175695     	-3.95139886e-04
0.000176202     	-3.95139886e-04
0.000176708     	-3.95139886e-04
0.000177214     	-3.95139886e-04
0.00017771      	-3.95139886e-04
0.000178205     	-3.95139886e-04
0.0001787       	-3.95139886e-04
0.000179196     	-3.95139886e-04
0.000179691     	-3.95139886e-04
0.000180186     	-3.95139886e-04
0.00018067      	-3.95139886e-04
0.000181153     	-3.95139886e-04
0.000181636     	-3.95139886e-04
0.000182119     	-3.95139886e-04
0.000182603     	-3.95139886e-04
0.000183086     	-3.95139886e-04
0.000183569     	-3.95139887e-04
0.000184052     	-3.95139887e-04
0.000184536     	-3.95139887e-04
0.000185019     	-3.95139887e-04
0.000185502     	-3.95139887e-04
0.000185985     	-3.95139887e-04
0.000186486     	-3.95139887e-04
0.000186986     	-3.95139887e-04
0.000187487     	-3.95139887e-04
0.000187987     	-3.95139887e-04
0.000188488     	-3.95139887e-04
0.000188989     	-3.95139887e-04
0.000189489     	-3.95139887e-04
0.00018999      	-3.95139887e-04
0.00019049      	-3.95139887e-04
0.000190991     	-3.95139887e-04
0.000191491     	-3.95139887e-04
0.000192023     	-3.95139887e-04
0.000192555     	-3.95139887e-04
0.000193087     	-3.95139887e-04
0.000193618     	-3.95139887e-04
0.00019415      	-3.95139887e-04
0.000194682     	-3.95139887e-04
0.000195214     	-3.95139887e-04
0.000195746     	-3.95139887e-04
0.000196277     	-3.95139887e-04
0.000196809     	-3.95139887e-04
0.000197341     	-3.95139887e-04
0.000197873     	-3.95139887e-04
0.000198405     	-3.95139887e-04
0.000198936     	-3.95139887e-04
0.000199468     	-3.95139887e-04
0.0002          	-3.95139887e-04
0.000200501     	-3.95139887e-04
0.000200999     	-3.95139887e-04
0.000201494     	-3.95139887e-04
0.000201986     	-3.95139887e-04
0.000202478     	-3.95139887e-04
0.000202967     	-3.95139887e-04
0.000203454     	-3.95139887e-04
0.000203941     	-3.95139887e-04
0.000204426     	-3.95139887e-04
0.00020491      	-3.95139887e-04
0.000205394     	-3.95139887e-04
0.000205878     	-3.95139887e-04
0.000206361     	-3.95139887e-04
0.000206845     	-3.95139887e-04
0.000207329     	-3.95139887e-04
0.000207815     	-3.95139887e-04
0.0002083       	-3.95139887e-04
0.000208787     	-3.95139887e-04
0.000209274     	-3.95139887e-04
0.000209765     	-3.95139887e-04
0.000210256     	-3.95139887e-04
0.00021075      	-3.95139887e-04
0.000211247     	-3.95139887e-04
0.000211747     	-3.95139887e-04
0.000212249     	-3.95139887e-04
0.000212755     	-3.95139887e-04
0.000213263     	-3.95139887e-04
0.000213776     	-3.95139887e-04
0.000214292     	-3.95139887e-04
0.000214812     	-3.95139887e-04
0.000215336     	-3.95139887e-04
0.000215862     	-3.95139887e-04
0.000216391     	-3.95139887e-04
0.000216925     	-3.95139887e-04
0.000217463     	-3.95139887e-04
0.000218006     	-3.95139887e-04
0.000218556     	-3.95139887e-04
0.000219106     	-3.95139887e-04
0.000219649     	-3.95139887e-04
0.000220188     	-3.95139887e-04
0.000220721     	-3.95139887e-04
0.00022125      	-3.95139887e-04
0.000221774     	-3.95139887e-04
0.000222294     	-3.95139887e-04
0.00022281      	-3.95139887e-04
0.000223322     	-3.95139887e-04
0.000223832     	-3.95139887e-04
0.000224338     	-3.95139887e-04
0.000224843     	-3.95139887e-04
0.000225345     	-3.95139887e-04
0.000225845     	-3.95139887e-04
0.000226344     	-3.95139887e-04
0.000226842     	-3.95139887e-04
0.000227339     	-3.95139887e-04
0.000227835     	-3.95139887e-04
0.000228331     	-3.95139887e-04
0.000228826     	-3.95139887e-04
0.000229321     	-3.95139887e-04
0.000229816     	-3.95139887e-04
0.000230312     	-3.95139887e-04
0.000230808     	-3.95139887e-04
0.000231306     	-3.95139887e-04
0.000231805     	-3.95139887e-04
0.000232305     	-3.95139887e-04
0.000232807     	-3.95139887e-04
0.000233312     	-3.95139887e-04
0.000233819     	-3.95139887e-04
0.000234329     	-3.95139887e-04
0.000234842     	-3.95139887e-04
0.000235358     	-3.95139887e-04
0.000235879     	-3.95139887e-04
